Time,Noise (dB)
2025-07-26 01:11:56.071738,59.0
2025-07-26 01:11:56.271729,59.0
2025-07-26 01:11:56.471720,58.0
2025-07-26 01:11:56.671712,57.0
2025-07-26 01:11:56.871703,56.0
2025-07-26 01:11:57.071694,57.0
2025-07-26 01:11:57.271686,58.0
2025-07-26 01:11:57.471677,58.0
2025-07-26 01:11:57.671669,58.0
2025-07-26 01:11:57.871660,58.0
2025-07-26 01:11:58.071651,57.0
2025-07-26 01:11:58.271643,56.0
2025-07-26 01:11:58.471634,56.0
2025-07-26 01:11:58.671625,56.0
2025-07-26 01:11:58.871617,56.0
2025-07-26 01:11:59.071608,55.0
2025-07-26 01:11:59.271600,56.0
2025-07-26 01:11:59.471591,58.0
2025-07-26 01:11:59.671582,59.0
2025-07-26 01:11:59.871574,58.0
2025-07-26 01:12:00.071565,57.0
2025-07-26 01:12:00.271556,58.0
2025-07-26 01:12:00.471548,56.0
2025-07-26 01:12:00.671539,55.0
2025-07-26 01:12:00.871531,54.0
2025-07-26 01:12:01.071522,56.0
2025-07-26 01:12:01.271513,56.0
2025-07-26 01:12:01.471505,58.0
2025-07-26 01:12:01.671496,60.0
2025-07-26 01:12:01.871487,60.0
2025-07-26 01:12:02.071479,60.0
2025-07-26 01:12:02.271470,59.0
2025-07-26 01:12:02.471461,57.0
2025-07-26 01:12:02.671453,56.0
2025-07-26 01:12:02.871444,56.0
2025-07-26 01:12:03.071436,57.0
2025-07-26 01:12:03.271427,57.0
2025-07-26 01:12:03.471418,57.0
2025-07-26 01:12:03.671410,56.0
2025-07-26 01:12:03.871401,57.0
2025-07-26 01:12:04.071392,57.0
2025-07-26 01:12:04.271384,58.0
2025-07-26 01:12:04.471375,59.0
2025-07-26 01:12:04.671367,59.0
2025-07-26 01:12:04.871358,59.0
2025-07-26 01:12:05.071349,60.0
2025-07-26 01:12:05.271341,60.0
2025-07-26 01:12:05.471332,56.0
2025-07-26 01:12:05.671323,56.0
2025-07-26 01:12:05.871315,57.0
2025-07-26 01:12:06.071306,59.0
2025-07-26 01:12:06.271297,60.0
2025-07-26 01:12:06.471289,61.0
2025-07-26 01:12:06.671280,60.0
2025-07-26 01:12:06.871272,60.0
2025-07-26 01:12:07.071263,59.0
2025-07-26 01:12:07.271254,57.0
2025-07-26 01:12:07.471246,56.0
2025-07-26 01:12:07.671237,55.0
2025-07-26 01:12:07.871228,55.0
2025-07-26 01:12:08.071220,57.0
2025-07-26 01:12:08.271211,58.0
2025-07-26 01:12:08.471203,57.0
2025-07-26 01:12:08.671194,57.0
2025-07-26 01:12:08.871185,56.0
2025-07-26 01:12:09.071177,55.0
2025-07-26 01:12:09.271168,56.0
2025-07-26 01:12:09.471159,57.0
2025-07-26 01:12:09.671151,58.0
2025-07-26 01:12:09.871142,58.0
2025-07-26 01:12:10.071134,58.0
2025-07-26 01:12:10.271125,59.0
2025-07-26 01:12:10.471116,60.0
2025-07-26 01:12:10.671108,59.0
2025-07-26 01:12:10.871099,57.0
2025-07-26 01:12:11.071090,57.0
2025-07-26 01:12:11.271082,55.0
2025-07-26 01:12:11.471073,56.0
2025-07-26 01:12:11.671064,57.0
2025-07-26 01:12:11.871056,58.0
2025-07-26 01:12:12.071047,58.0
2025-07-26 01:12:12.271039,57.0
2025-07-26 01:12:12.471030,57.0
2025-07-26 01:12:12.671021,57.0
2025-07-26 01:12:12.871013,60.0
2025-07-26 01:12:13.071004,60.0
2025-07-26 01:12:13.270995,60.0
2025-07-26 01:12:13.470987,59.0
2025-07-26 01:12:13.670978,59.0
2025-07-26 01:12:13.870970,59.0
2025-07-26 01:12:14.070961,57.0
2025-07-26 01:12:14.270952,56.0
